sep=,
DeviceTag:,Movella DOT,,,,,,,,,,,,,,,,,
FirmwareVersion:,3.0.0,,,,,,,,,,,,,,,,,
AppVersion:,2023.6.1,,,,,,,,,,,,,,,,,
SyncStatus:,Un-synced,,,,,,,,,,,,,,,,,
OutputRate:,60Hz,,,,,,,,,,,,,,,,,
FilterProfile:,Dynamic,,,,,,,,,,,,,,,,,
Measurement Mode:,Sensor fusion Mode - Complete (Euler),,,,,,,,,,,,,,,,,
StartTime:,2024-11-03 20:00:50.848 +0700,,,,,,,,,,,,,,,,,
 2024,,,,,,,,,,,,,,,,,,,

PacketCounter,SampleTimeFine,Euler_X,Euler_Y,Euler_Z,FreeAcc_X,FreeAcc_Y,FreeAcc_Z
1, 463822482, -0.01796030066907406, -0.9258915781974792, -93.13955688476562, -0.33358264, 0.22766656, 0.34825993
2, 463839149, -0.2790104150772095, -0.758804202079773, -94.17345428466797, -0.8035502, 0.34739313, 0.36598969
3, 463855816, -0.8353359699249268, -0.5844365358352661, -95.30824279785156, 0.42411476, -0.18863292, 0.30652332
4, 463872483, -0.8924024105072021, -0.6658297777175903, -95.4474105834961, 1.2796352, -0.2845245, 0.3767767
5, 463889150, -0.779633104801178, -0.5862778425216675, -95.46473693847656, -0.10091317, 0.24023367, 0.33060646
6, 463905817, -0.547265350818634, -0.5602359771728516, -95.4564208984375, 0.07508615, 0.016907452, 0.3220644
7, 463922484, -0.39764729142189026, -0.5470241904258728, -95.46847534179688, 0.03267941, 0.060769618, 0.35473347
8, 463939151, -0.3126136064529419, -0.5385754704475403, -95.49678039550781, 0.029031647, 0.07111701, 0.33617783
9, 463955818, -0.2505180835723877, -0.5277515649795532, -95.49993133544922, -6.317471E-4, 0.06896463, 0.33771992
10, 463972485, -0.21524719893932343, -0.5212892293930054, -95.50250244140625, -0.014434705, 0.08392037, 0.3733387
11, 463989152, -0.19496455788612366, -0.5196430683135986, -95.50273895263672, 1.8525994E-4, 0.08538669, 0.3465662
12, 464005819, -0.18029120564460754, -0.5147383213043213, -95.49645233154297, 4.2627238E-5, 0.07841724, 0.3517189
13, 464022486, -0.1720566302537918, -0.512710690498352, -95.49169921875, 0.0067697614, 0.07223084, 0.32730293
14, 464039153, -0.165608748793602, -0.5103228688240051, -95.49484252929688, -0.0034060038, 0.0757238, 0.3368044
15, 464055820, -0.16135530173778534, -0.5113188028335571, -95.48475646972656, -0.0123833325, 0.0645456, 0.3371935
16, 464072487, -0.1612851768732071, -0.5142720341682434, -95.4771957397461, -0.007426892, 0.06881785, 0.33924866
17, 464089154, -0.16191509366035461, -0.5192152261734009, -95.47630310058594, -0.01393353, 0.088385135, 0.34179497
18, 464105821, -0.16523192822933197, -0.5232716202735901, -95.46855163574219, -0.005981385, 0.09253626, 0.34015656
19, 464122488, -0.16825059056282043, -0.5280820727348328, -95.46842193603516, 0.007525574, 0.08262941, 0.3290615
20, 464139155, -0.1709628850221634, -0.5352737307548523, -95.4733657836914, -0.0029455088, 0.07298871, 0.34216785
21, 464155822, -0.17461568117141724, -0.5431462526321411, -95.467529296875, -0.003850284, 0.0840074, 0.35867023
22, 464172489, -0.1787114143371582, -0.5505776405334473, -95.45885467529297, -0.0016186808, 0.0711131, 0.33057022
23, 464189156, -0.18333354592323303, -0.5602070093154907, -95.45355987548828, 0.020168593, 0.07179537, 0.3236866
24, 464205823, -0.18719369173049927, -0.5680211186408997, -95.451171875, 8.9565484E-4, 0.07693484, 0.34818554
25, 464222490, -0.1913219839334488, -0.5780826807022095, -95.44312286376953, -0.010307909, 0.08749996, 0.34494877
26, 464239157, -0.1964004933834076, -0.5883520245552063, -95.44117736816406, 0.004933323, 0.0797455, 0.34075928
27, 464255824, -0.2008875459432602, -0.5987692475318909, -95.43639373779297, -0.0039202976, 0.089996204, 0.34829426
28, 464272491, -0.20661039650440216, -0.609923779964447, -95.43318939208984, -0.005829198, 0.09863447, 0.3516283
29, 464289158, -0.2107079178094864, -0.6223040223121643, -95.4338150024414, 0.009571555, 0.09483637, 0.33755112
30, 464305825, -0.21633489429950714, -0.6329155564308167, -95.42716979980469, 0.02044729, 0.09145088, 0.33229828
31, 464322492, -0.22006481885910034, -0.642882764339447, -95.42401885986328, 0.009473006, 0.082115605, 0.33367252
32, 464339159, -0.22537636756896973, -0.6541669964790344, -95.42365264892578, 0.014831116, 0.095336035, 0.32287884
33, 464355826, -0.23107104003429413, -0.6662777662277222, -95.43235778808594, 0.002208399, 0.098780416, 0.34943104
34, 464372493, -0.23590758442878723, -0.6788151860237122, -95.42761993408203, 0.007867579, 0.09360753, 0.34123802
35, 464389160, -0.2406119853258133, -0.6911900639533997, -95.4109878540039, 0.015614098, 0.102305986, 0.3408165
36, 464405827, -0.24497127532958984, -0.7037479877471924, -95.4060287475586, 0.0133694485, 0.1138982, 0.34613037
37, 464422494, -0.25002530217170715, -0.716552197933197, -95.4006576538086, 0.01013123, 0.11586715, 0.34716988
38, 464439161, -0.2555268108844757, -0.7289168238639832, -95.40259552001953, 0.010757808, 0.10905674, 0.3643856
39, 464455828, -0.2587418556213379, -0.7419878840446472, -95.40607452392578, 0.007929859, 0.12998922, 0.33249283
40, 464472495, -0.26222437620162964, -0.7542462944984436, -95.39383697509766, 0.0022167682, 0.11420854, 0.3368578
41, 464489162, -0.2669077515602112, -0.7658948302268982, -95.39798736572266, 0.025533384, 0.10628001, 0.35841656
42, 464505829, -0.27108439803123474, -0.7785248756408691, -95.39010620117188, 0.012943351, 0.11580986, 0.32867336
43, 464522496, -0.2756832242012024, -0.7924002408981323, -95.38249206542969, 0.012729618, 0.121737964, 0.33430958
44, 464539163, -0.2804741859436035, -0.8058906197547913, -95.37425231933594, 0.023229584, 0.1286909, 0.35620308
45, 464555830, -0.28432154655456543, -0.8185533881187439, -95.36278533935547, 0.02512059, 0.13270803, 0.3627081
46, 464572497, -0.2886697053909302, -0.8322011828422546, -95.35751342773438, 0.0044391872, 0.12344446, 0.33895493
47, 464589164, -0.29230543971061707, -0.8450646996498108, -95.35110473632812, 0.01692568, 0.12574594, 0.31809998
48, 464605831, -0.2970086336135864, -0.8578043580055237, -95.3449935913086, 0.020524206, 0.14657809, 0.33028412
49, 464622498, -0.30141517519950867, -0.8698266744613647, -95.34358215332031, 0.03819571, 0.13608687, 0.3458252
50, 464639165, -0.3062727153301239, -0.8812757134437561, -95.33793640136719, 0.0326359, 0.13312982, 0.36058044
51, 464655832, -0.3106829822063446, -0.8934364318847656, -95.3369140625, 0.024228847, 0.13328715, 0.33649063
52, 464672499, -0.31379589438438416, -0.9078248143196106, -95.33736419677734, 0.03161312, 0.13653062, 0.3315611
53, 464689166, -0.31772419810295105, -0.9210057854652405, -95.33590698242188, 0.03180101, 0.13049418, 0.33952045
54, 464705833, -0.32305318117141724, -0.9341747164726257, -95.32933044433594, 0.031772286, 0.1419981, 0.33788967
55, 464722500, -0.3270604610443115, -0.9476835131645203, -95.32428741455078, 0.037190426, 0.1484366, 0.3464918
56, 464739167, -0.33139675855636597, -0.9615747332572937, -95.32342529296875, 0.03642745, 0.13985011, 0.33210087
57, 464755834, -0.3346911668777466, -0.9771066904067993, -95.31536102294922, 0.025820868, 0.15207575, 0.32839108
58, 464772501, -0.3384392261505127, -0.9897635579109192, -95.31371307373047, 0.043145187, 0.15637305, 0.35142136
59, 464789168, -0.3421162962913513, -1.0027027130126953, -95.30590057373047, 0.035215598, 0.14729373, 0.34631443
60, 464805835, -0.3465941250324249, -1.0167418718338013, -95.30416107177734, 0.045336388, 0.15876405, 0.3278513
61, 464822502, -0.35179734230041504, -1.030277967453003, -95.3028793334961, 0.034853842, 0.15978436, 0.3313179
62, 464839169, -0.3560055196285248, -1.0450165271759033, -95.2919692993164, 0.04371604, 0.16418286, 0.35134792
63, 464855836, -0.3591640293598175, -1.058361291885376, -95.2866439819336, 0.04174949, 0.16566052, 0.3413744
64, 464872503, -0.3629056513309479, -1.0724334716796875, -95.28185272216797, 0.036866743, 0.16675721, 0.3483162
65, 464889170, -0.36643844842910767, -1.085829496383667, -95.27522277832031, 0.026108837, 0.177541, 0.3469038
66, 464905837, -0.36949628591537476, -1.099583625793457, -95.27721405029297, 0.047130473, 0.17857757, 0.34984875
67, 464922504, -0.37293723225593567, -1.112349271774292, -95.27481842041016, 0.044285018, 0.18847546, 0.32293034
68, 464939171, -0.3776458203792572, -1.124343991279602, -95.27084350585938, 0.03241069, 0.16827047, 0.3417015
69, 464955838, -0.38152652978897095, -1.1373361349105835, -95.26753234863281, 0.041747235, 0.17675665, 0.33310032
70, 464972505, -0.38645341992378235, -1.1521062850952148, -95.26219177246094, 0.03868101, 0.1851111, 0.3424635
