PacketCounter,SampleTimeFine,Euler_X,Euler_Y,Euler_Z,FreeAcc_X,FreeAcc_Y,FreeAcc_Z
1,107912500,-0.6914072632789612,-0.8642160892486572,-26.384206771850582,-0.011983581,0.01086706,0.3179226
2,108012502,-0.709134578704834,-0.934446394443512,-26.30898094177246,-0.016170105,0.0121729765,0.33078384
3,108112504,-0.734762966632843,-1.008191704750061,-26.292007446289062,-0.0373465,0.026019083,0.33750916
4,108212506,-0.7616015076637268,-1.0876802206039429,-26.247901916503903,-0.033310235,0.041740514,0.3225813
5,108312508,-0.7864665985107422,-1.168676495552063,-26.2159366607666,-0.049306504,0.04776142,0.35168552
6,108412510,-0.8095189929008484,-1.2513192892074585,-26.21891021728516,-0.054027997,0.0598671,0.3336563
7,108512512,-0.8325400948524475,-1.3347028493881226,-26.24752616882324,-0.05824967,0.07336753,0.3280239
8,108612514,-0.8586804270744324,-1.4127757549285889,-26.259689331054688,-0.08243512,0.07375874,0.3262434
9,108712516,-0.8822098970413208,-1.492100477218628,-26.262495040893555,-0.09057399,0.081575535,0.34010792
10,108812518,-0.9012250304222108,-1.5727494955062866,-26.26209259033203,-0.1066983,0.09748448,0.32178402
11,108912520,-0.9246373772621156,-1.6529542207717896,-26.25640106201172,-0.122383945,0.10878633,0.30803585
12,109012522,-0.9459891319274902,-1.7266520261764526,-26.259645462036133,-0.11242908,0.118922584,0.3237543
13,109112524,-0.9648233652114868,-1.7976806163787842,-26.25385284423828,-0.12800442,0.117316924,0.33173656
14,109212526,-0.9830572009086608,-1.866361618041992,-26.262361526489254,-0.15006553,0.12959993,0.3135643
15,109312528,-1.0011192560195925,-1.925285577774048,-26.27547645568848,-0.14503501,0.12966384,0.3409109
16,109412530,-1.0204105377197266,-1.984642744064331,-26.28289222717285,-0.16014878,0.13521004,0.32111645
17,109512532,-1.0350843667984009,-2.036980390548706,-26.293994903564453,-0.16884032,0.15038513,0.3459139
18,109612534,-1.0486774444580078,-2.083197593688965,-26.308347702026367,-0.17021282,0.16407494,0.32541275
19,109712536,-1.0622259378433228,-2.126373767852783,-26.338233947753903,-0.18461525,0.16207726,0.32890224
20,109812538,-0.6586794853210449,-0.7744709849357605,-26.852392196655277,0.0018168809,0.0019262626,0.3374052
21,109912540,-0.6583772301673889,-0.7756144404411316,-26.82263946533203,-0.009389199,-0.00996179,0.35664082
22,110012542,-0.6578713059425354,-0.7778914570808411,-26.80533218383789,0.015447783,0.0062639364,0.33350277
23,110112544,-0.6589534282684326,-0.7769609093666077,-26.783409118652344,0.009317221,0.01027545,0.31825447
24,110212546,-0.6576553583145142,-0.7793429493904114,-26.76263236999512,0.022894187,-0.00023064442,0.33660412
25,110312548,-0.6609574556350708,-0.7762731313705444,-26.7475700378418,0.0027118616,-0.004268385,0.330698
26,110412550,-0.6614585518836975,-0.7773217558860779,-26.73684501647949,-0.0007799973,-0.004102287,0.31073856
27,110512552,-0.6623334288597107,-0.777124285697937,-26.72130584716797,0.0037496393,0.0007834478,0.33583164
28,110612554,-0.6614750027656555,-0.776361882686615,-26.71152114868164,-0.005139939,0.009937937,0.3276806
29,110712556,-0.6608086228370667,-0.7755499482154846,-26.69803237915039,-0.000114934555,0.006669452,0.33810616
30,110812558,-0.6607441902160645,-0.7757847309112549,-26.6842098236084,0.0013887489,-0.009119664,0.3396988
31,110912560,-0.6571606397628784,-0.774705708026886,-26.67301177978516,0.003620201,-0.00041197627,0.3327341
32,111012562,-0.6567691564559937,-0.7722247242927551,-26.66232681274414,-0.0043486613,0.0019817008,0.35582066
33,111112564,-0.6549366116523743,-0.774886429309845,-26.654754638671875,0.0050541027,-0.01560346,0.32787132
34,111212566,-0.6530088186264038,-0.7745077013969421,-26.64439010620117,-0.0016828604,-0.0010488695,0.31058216
35,111312568,-0.6539777517318726,-0.7731103897094727,-26.639976501464844,-0.0038867472,0.012762363,0.338686
36,111412570,-0.651101291179657,-0.7725857496261597,-26.63446807861328,0.0010137954,0.004467458,0.3197899
37,111512572,-0.6485462188720703,-0.7727349996566772,-26.63131523132324,0.010792131,0.008748003,0.33320522
38,111612574,-0.6497418284416199,-0.7746301293373108,-26.620262145996094,-0.0023904885,0.0048959674,0.34604263
39,111712576,-0.6469294428825378,-0.7740058302879333,-26.61188697814941,-0.0016595557,-0.0042116893,0.3349886
40,111812578,-0.6504555940628052,-0.7753750085830688,-26.601192474365234,0.0017704391,0.010324916,0.3481245
41,111912580,-0.6508709788322449,-0.7758771777153015,-26.592947006225582,-0.0024062078,0.0099003315,0.35402298
42,112012582,-0.6492772102355957,-0.7760014533996582,-26.59135627746582,-0.00044111328,-0.0018171743,0.3096304
43,112112584,-0.6492552757263184,-0.7782894372940063,-26.58358192443848,0.00083909556,0.016863124,0.33584213
44,112212586,-0.6495376229286194,-0.7808387875556946,-26.57586669921875,0.00463664,-0.008788159,0.33078384
45,112312588,-0.6485036611557007,-0.7826268076896667,-26.57488441467285,0.0026135754,0.011646471,0.34182358
