sep=,
DeviceTag:,Movella DOT,,,,,,,,,,,,,,,,,
FirmwareVersion:,3.0.0,,,,,,,,,,,,,,,,,
AppVersion:,2023.6.1,,,,,,,,,,,,,,,,,
SyncStatus:,Un-synced,,,,,,,,,,,,,,,,,
OutputRate:,10Hz,,,,,,,,,,,,,,,,,
FilterProfile:,Dynamic,,,,,,,,,,,,,,,,,
Measurement Mode:,Sensor fusion Mode - Complete (Euler),,,,,,,,,,,,,,,,,
StartTime:,2024-10-19 20:32:57.394 +0700,,,,,,,,,,,,,,,,,
 2024,,,,,,,,,,,,,,,,,,,

PacketCounter,SampleTimeFine,Euler_X,Euler_Y,Euler_Z,FreeAcc_X,FreeAcc_Y,FreeAcc_Z
1, 49503164, -0.6247041821479797, -0.9713543057441711, -30.875782012939453, 0.008217929, 0.02099592, 0.35500145
2, 49603166, -0.6334717869758606, -1.0399607419967651, -30.830307006835938, -0.011406586, 0.004910817, 0.330822
3, 49703168, -0.6532184481620789, -1.1206470727920532, -30.78518295288086, -0.036244735, 0.031473484, 0.33187485
4, 49803170, -0.6768299341201782, -1.204445719718933, -30.730205535888672, -0.026393618, 0.030332783, 0.34085846
5, 49903172, -0.701919436454773, -1.287946343421936, -30.67865562438965, -0.060023565, 0.04376697, 0.31655502
6, 50003174, -0.7278729677200317, -1.3704272508621216, -30.62662696838379, -0.06754807, 0.063049994, 0.33409214
7, 50103176, -0.7514694333076477, -1.453222393989563, -30.575830459594727, -0.078293666, 0.08007104, 0.32456684
8, 50203178, -0.7759181261062622, -1.539422631263733, -30.52852439880371, -0.095366746, 0.07967524, 0.33876514
9, 50303180, -0.8032557368278503, -1.6164164543151855, -30.48351287841797, -0.0849081, 0.08171466, 0.32214832
10, 50403182, -0.826301634311676, -1.6995484828948975, -30.445234298706055, -0.10377994, 0.09518974, 0.31357098
11, 50503184, -0.8549279570579529, -1.780681848526001, -30.411195755004883, -0.11517896, 0.118548505, 0.33191395
12, 50603186, -0.8773120641708374, -1.8579245805740356, -30.38489532470703, -0.12141229, 0.124526404, 0.3491478
13, 50703188, -0.9016568064689636, -1.9360542297363281, -30.36569595336914, -0.1250427, 0.13827337, 0.32064342
14, 50803190, -0.9283554553985596, -2.0107367038726807, -30.348825454711914, -0.1331995, 0.15075634, 0.3227749
15, 50903192, -0.9531104564666748, -2.083484649658203, -30.336288452148438, -0.150492, 0.16162407, 0.32437515
16, 51003194, -0.9745969176292419, -2.15523362159729, -30.328346252441406, -0.14519459, 0.15770216, 0.31513882
17, 51103196, -0.9990180730819702, -2.2232918739318848, -30.329994201660156, -0.16479245, 0.16900365, 0.3251009
18, 51203198, -1.0220941305160522, -2.2854361534118652, -30.332761764526367, -0.17108, 0.17402565, 0.3385887
19, 51303200, -1.044203758239746, -2.3489720821380615, -30.339170455932617, -0.18541913, 0.18433742, 0.31008148
20, 51403202, -0.5980425477027893, -0.8697514533996582, -30.744016647338867, 0.0061397054, 0.0037958089, 0.32343388
21, 51503204, -0.5994683504104614, -0.8707330226898193, -30.74823570251465, -0.0032398412, 6.6821295E-4, 0.31923866
22, 51603206, -0.5995845794677734, -0.8710770010948181, -30.748672485351562, -2.3074569E-4, -0.008502621, 0.33499908
23, 51703208, -0.599118173122406, -0.8730648159980774, -30.75489044189453, 0.003949097, -0.010017529, 0.33196068
24, 51803210, -0.6010169386863708, -0.8731691837310791, -30.760683059692383, 0.0012005509, 0.0014145715, 0.3330593
25, 51903212, -0.6005011796951294, -0.8754948377609253, -30.76475715637207, 0.0066630295, 0.009272756, 0.31863594
26, 52003214, -0.5986244678497314, -0.8772574067115784, -30.76735496520996, 0.0018922955, 0.009899912, 0.35975075
27, 52103216, -0.5973511934280396, -0.8750114440917969, -30.76807975769043, -0.007942679, 0.01751471, 0.33250713
28, 52203218, -0.6000766158103943, -0.8740290403366089, -30.77249526977539, 0.007876537, 0.017980905, 0.34794044
29, 52303220, -0.6002672910690308, -0.8727492690086365, -30.77695655822754, -8.912055E-4, -0.00281363, 0.34257984
30, 52403222, -0.5998023748397827, -0.8733769655227661, -30.779277801513672, 0.008781363, 0.0036551843, 0.30482864
