PacketCounter,SampleTimeFine,Euler_X,Euler_Y,Euler_Z,FreeAcc_X,FreeAcc_Y,FreeAcc_Z
1,90237803,-0.6576877236366272,-0.9225661754608154,-27.19338607788086,-0.001067882,0.0096989395,0.33351517
2,90254470,-0.6544752717018127,-0.9372432827949524,-27.14559936523437,0.0043121725,-0.0007445496,0.3335657
3,90271137,-0.656292200088501,-0.9599419832229614,-27.11762046813965,-0.02100968,0.0013289661,0.32331467
4,90287804,-0.6664828658103943,-0.966617465019226,-27.12044715881348,-0.011598098,0.00020660281,0.34852505
5,90304471,-0.6770395040512085,-0.9749739766120912,-27.075693130493164,-0.009672628,0.010975555,0.3215618
6,90321138,-0.6833075284957886,-0.9828316569328308,-27.076356887817383,-0.012726712,-0.015536721,0.31280422
7,90337805,-0.694315493106842,-0.9952552914619446,-27.051944732666016,-0.010663132,-0.0034621807,0.3193226
8,90354472,-0.7046449780464172,-1.007848858833313,-27.05053329467773,-0.008209379,0.00022755016,0.30875587
9,90371139,-0.7127976417541504,-1.0228567123413086,-27.03486633300781,-0.011958201,0.015899839,0.29442406
10,90387806,-0.7188583612442017,-1.0370752811431885,-27.029268264770508,-0.0138347605,0.008048178,0.33058262
11,90404473,-0.7246541976928711,-1.0525591373443604,-27.03058624267578,-0.006351072,0.01886302,0.33506298
12,90421140,-0.7289149761199951,-1.067746877670288,-27.03402137756348,-0.020286923,0.013373723,0.3290367
13,90437807,-0.7332929968833923,-1.0825930833816528,-27.033557891845703,-0.018212143,0.024010614,0.33824348
14,90454474,-0.7369439005851746,-1.0968936681747437,-27.033510208129883,-0.027944263,0.02882653,0.3237877
15,90471141,-0.7395505309104919,-1.1105375289916992,-27.03800773620605,-0.020831855,0.019364994,0.33595276
16,90487808,-0.7425178289413452,-1.1243469715118408,-27.031782150268555,-0.019837592,0.021646887,0.3289652
17,90504475,-0.7466301321983337,-1.1378690004348757,-27.02951431274414,-0.02656199,0.019289363,0.33057308
18,90521142,-0.7498069405555725,-1.1522977352142334,-27.024526596069336,-0.033956055,0.03076109,0.34622478
19,90537809,-0.7543055415153503,-1.167896389961243,-27.02564811706543,-0.034798946,0.03650925,0.32348728
20,90554476,-0.7587623000144958,-1.1812220811843872,-27.025405883789062,-0.033629555,0.028858554,0.3144207
21,90571143,-0.7636925578117371,-1.194734811782837,-27.02715110778809,-0.028983058,0.042799003,0.3143463
22,90587810,-0.7674196362495422,-1.2089499235153198,-27.03332901000977,-0.031124448,0.03966656,0.3153181
