sep=,
DeviceTag:,Movella DOT,,,,,,,,,,,,,,,,,
FirmwareVersion:,3.0.0,,,,,,,,,,,,,,,,,
AppVersion:,2023.6.1,,,,,,,,,,,,,,,,,
SyncStatus:,Un-synced,,,,,,,,,,,,,,,,,
OutputRate:,60Hz,,,,,,,,,,,,,,,,,
FilterProfile:,Dynamic,,,,,,,,,,,,,,,,,
Measurement Mode:,Sensor fusion Mode - Complete (Euler),,,,,,,,,,,,,,,,,
StartTime:,2024-10-20 20:50:53.441 +0700,,,,,,,,,,,,,,,,,
 2024,,,,,,,,,,,,,,,,,,,

PacketCounter,SampleTimeFine,Euler_X,Euler_Y,Euler_Z,FreeAcc_X,FreeAcc_Y,FreeAcc_Z
1, 50080853, -0.654685378074646, -0.8702398538589478, -25.220232009887695, -0.0127045745, -0.008165906, 0.32404804
2, 50097520, -0.6701967716217041, -0.8853604793548584, -25.226831436157227, -0.0191896, -0.009931191, 0.30590057
3, 50114187, -0.6921340823173523, -0.892963707447052, -25.241968154907227, -0.025801204, -0.0056294743, 0.31810093
4, 50130854, -0.7137291431427002, -0.8965931534767151, -25.24970817565918, -0.0143661415, 0.011989947, 0.3197155
5, 50147521, -0.7254115343093872, -0.9002296924591064, -25.221364974975586, -0.00778863, 0.00869332, 0.31458378
6, 50164188, -0.7327824831008911, -0.9073841571807861, -25.190420150756836, -0.025002278, 0.007924554, 0.3128004
7, 50180855, -0.7397310137748718, -0.9149430394172668, -25.171510696411133, -0.02144653, 0.004839321, 0.31211758
8, 50197522, -0.7467345595359802, -0.9238332509994507, -25.164236068725586, -0.0069457977, 0.01754289, 0.3351078
9, 50214189, -0.7515523433685303, -0.936291515827179, -25.18035316467285, -0.024141487, 0.015870992, 0.33308315
10, 50230856, -0.7552318572998047, -0.9470593333244324, -25.163867950439453, -0.016233016, 0.01588985, 0.31804276
11, 50247523, -0.7593935132026672, -0.9574781060218811, -25.15616798400879, -0.021774905, 0.014798821, 0.30855465
12, 50264190, -0.7644664645195007, -0.9696531295776367, -25.146888732910156, -0.028901832, 0.024064012, 0.3219509
13, 50280857, -0.7688220739364624, -0.9826122522354126, -25.13311004638672, -0.016715577, 0.039828777, 0.3431263
14, 50297524, -0.771852970123291, -0.9956470131874084, -25.135671615600586, -0.020067912, 0.031038413, 0.31848526
15, 50314191, -0.7738587856292725, -1.008599877357483, -25.134002685546875, -0.025041103, 0.03536267, 0.32143497
16, 50330858, -0.7757875323295593, -1.021701455116272, -25.13391876220703, -0.012875652, 0.031088592, 0.30815125
17, 50347525, -0.7773960828781128, -1.0359222888946533, -25.137853622436523, -0.03409114, 0.03249131, 0.33170414
18, 50364192, -0.7796369194984436, -1.051077961921692, -25.127864837646484, -0.03521698, 0.042155687, 0.33715343
19, 50380859, -0.7811328172683716, -1.0654264688491821, -25.118751525878906, -0.040088408, 0.038014606, 0.32023716
20, 50397526, -0.7831994891166687, -1.079445481300354, -25.118547439575195, -0.05491269, 0.03314957, 0.32436657
21, 50414193, -0.786120593547821, -1.092824935913086, -25.11349105834961, -0.051915582, 0.029742394, 0.31720924
22, 50430860, -0.7891306281089783, -1.106776237487793, -25.10518455505371, -0.043512817, 0.036928125, 0.320302
23, 50447527, -0.7921764850616455, -1.120546579360962, -25.099544525146484, -0.036852684, 0.033160686, 0.33575058
24, 50464194, -0.7964242696762085, -1.1345120668411255, -25.093324661254883, -0.053598948, 0.04191161, 0.33437347
25, 50480861, -0.8002470135688782, -1.1478859186172485, -25.095582962036133, -0.043607797, 0.049008742, 0.35133648
26, 50497528, -0.8037522435188293, -1.163102626800537, -25.0933895111084, -0.044059794, 0.058591317, 0.3382969
27, 50514195, -0.8077324628829956, -1.1774241924285889, -25.093862533569336, -0.052902177, 0.04940182, 0.35085678
28, 50530862, -0.8098486661911011, -1.1904191970825195, -25.092491149902344, -0.065915346, 0.050200418, 0.32369423
29, 50547529, -0.8131227493286133, -1.2034496068954468, -25.091493606567383, -0.0677182, 0.0498425, 0.34206295
30, 50564196, -0.8160593509674072, -1.2164660692214966, -25.088180541992188, -0.04981661, 0.057025038, 0.32227516
31, 50580863, -0.8184550404548645, -1.2308460474014282, -25.08794403076172, -0.058959827, 0.033991545, 0.31415462
32, 50597530, -0.8211086988449097, -1.2450839281082153, -25.084877014160156, -0.048402973, 0.054295808, 0.3299446
33, 50614197, -0.8242450952529907, -1.2578606605529785, -25.07835578918457, -0.072758056, 0.063229255, 0.33018303
34, 50630864, -0.8271929621696472, -1.2726342678070068, -25.075490951538086, -0.07372561, 0.054235935, 0.32108974
35, 50647531, -0.8297572135925293, -1.2862192392349243, -25.072771072387695, -0.07382924, 0.06420616, 0.32618618
36, 50664198, -0.8313978910446167, -1.299976110458374, -25.069393157958984, -0.07738109, 0.05015696, 0.3378744
37, 50680865, -0.834064245223999, -1.3150979280471802, -25.06592559814453, -0.070229486, 0.06076964, 0.32861805
