sep=,
DeviceTag:,Movella DOT,,,,,,,,,,,,,,,,,
FirmwareVersion:,3.0.0,,,,,,,,,,,,,,,,,
AppVersion:,2023.6.1,,,,,,,,,,,,,,,,,
SyncStatus:,Un-synced,,,,,,,,,,,,,,,,,
OutputRate:,60Hz,,,,,,,,,,,,,,,,,
FilterProfile:,General,,,,,,,,,,,,,,,,,
Measurement Mode:,Sensor fusion Mode - Complete (Euler),,,,,,,,,,,,,,,,,
StartTime:,2024-11-03 19:34:51.740 +0700,,,,,,,,,,,,,,,,,
 2024,,,,,,,,,,,,,,,,,,,

PacketCounter,SampleTimeFine,Euler_X,Euler_Y,Euler_Z,FreeAcc_X,FreeAcc_Y,FreeAcc_Z
1, 400824873, -2.4154269695281982, 0.12580908834934235, 2.393167495727539, -0.007951232, -0.0111320065, 0.33582497
2, 400841540, -2.430384397506714, 0.11365284025669098, 2.2712392807006836, -0.01888352, 0.0029741472, 0.32127666
3, 400858207, -2.4327821731567383, 0.11653468757867813, 2.167618989944458, -0.037385408, 0.002409735, 0.34585
4, 400874874, -2.4336400032043457, 0.1362069994211197, 2.1505813598632812, -0.01116747, 0.002982501, 0.3382101
5, 400891541, -2.4337334632873535, 0.13929790258407593, 2.1095964908599854, -0.006011273, 0.0076194867, 0.32513905
6, 400908208, -2.431812286376953, 0.13270597159862518, 2.1219675540924072, -0.009168662, 0.018302009, 0.33563805
7, 400924875, -2.4264702796936035, 0.12132833153009415, 2.170165777206421, -0.03330679, 0.011905446, 0.35002518
8, 400941542, -2.4237923622131348, 0.11355296522378922, 2.1779754161834717, -0.025754672, 0.006985814, 0.34936428
9, 400958209, -2.421952724456787, 0.10528302192687988, 2.1963603496551514, -0.02986363, 0.0061720866, 0.349123
10, 400974876, -2.421825885772705, 0.09642897546291351, 2.1963977813720703, -0.020999705, 0.001534654, 0.32674217
11, 400991543, -2.422407865524292, 0.08708063513040543, 2.1973674297332764, -0.018690856, 0.009355791, 0.32157612
12, 401008210, -2.4246487617492676, 0.07556865364313126, 2.2032411098480225, -0.019070104, 0.012473853, 0.33221436
13, 401024877, -2.4249393939971924, 0.0622066892683506, 2.2189173698425293, -0.025724825, 0.006892078, 0.36176014
14, 401041544, -2.4263625144958496, 0.048527948558330536, 2.214402198791504, -0.027653025, -9.814315E-4, 0.32241058
15, 401058211, -2.4279465675354004, 0.03568697348237038, 2.2224106788635254, -0.030509531, 0.005447751, 0.34797668
16, 401074878, -2.431300163269043, 0.021877149119973183, 2.218472480773926, -0.031985536, -4.224255E-4, 0.3261099
17, 401091545, -2.434641122817993, 0.007177107967436314, 2.2134249210357666, -0.024489699, 0.0027556634, 0.34227276
18, 401108212, -2.4380125999450684, -0.007193376775830984, 2.2207553386688232, -0.045778595, -0.003273375, 0.3406601
19, 401124879, -2.4413719177246094, -0.022653456777334213, 2.2159152030944824, -0.05642028, 0.005577696, 0.34454727
20, 401141546, -2.444533109664917, -0.038366541266441345, 2.213167905807495, -0.050302222, 0.019705908, 0.31825352
21, 401158213, -2.4480905532836914, -0.051037102937698364, 2.214818239212036, -0.054118913, 0.0067981607, 0.33653355
22, 401174880, -2.4513185024261475, -0.06465017050504684, 2.226149320602417, -0.045084428, 0.015921624, 0.34404278
23, 401191547, -2.4546985626220703, -0.07947481423616409, 2.2337841987609863, -0.05240838, 0.0075323586, 0.34077072
24, 401208214, -2.4583301544189453, -0.09346191585063934, 2.242704391479492, -0.040990334, 0.012149774, 0.33469868
25, 401224881, -2.4613873958587646, -0.10796504467725754, 2.2457656860351562, -0.061540354, 0.011753806, 0.33959103
26, 401241548, -2.464129686355591, -0.12157638370990753, 2.243165969848633, -0.06087879, 0.014585617, 0.3347025
27, 401258215, -2.4674746990203857, -0.1363721787929535, 2.2521073818206787, -0.062185425, 0.008556873, 0.35949612
28, 401274882, -2.470959186553955, -0.1500166952610016, 2.2517693042755127, -0.07316965, 0.005418876, 0.32215595
29, 401291549, -2.473170757293701, -0.16422860324382782, 2.2634119987487793, -0.0701216, 7.630313E-4, 0.34256935
30, 401308216, -2.4754199981689453, -0.17779147624969482, 2.2628393173217773, -0.07327994, 0.014614828, 0.36539173
31, 401324883, -2.476759433746338, -0.19175656139850616, 2.2688589096069336, -0.06876977, 0.00839829, 0.32410622
32, 401341550, -2.4796483516693115, -0.20718124508857727, 2.265077829360962, -0.07069659, 0.0067599537, 0.33640862
33, 401358217, -2.4824702739715576, -0.22111757099628448, 2.265195369720459, -0.08114382, 0.019126618, 0.33100414
34, 401374884, -2.485106945037842, -0.23671039938926697, 2.270315408706665, -0.06702972, 0.007789608, 0.31372452
35, 401391551, -2.4885454177856445, -0.2501707375049591, 2.276085376739502, -0.07473019, 0.033943906, 0.33445454
36, 401408218, -2.4915342330932617, -0.2648926377296448, 2.280649185180664, -0.08570292, 0.02218211, 0.34342098
37, 401424885, -2.4954962730407715, -0.2804131805896759, 2.2835662364959717, -0.0822947, 0.01779145, 0.3466959
38, 401441552, -2.4988439083099365, -0.29522940516471863, 2.289773464202881, -0.097808786, 0.021934807, 0.3342352
39, 401458219, -2.5023980140686035, -0.3099830746650696, 2.29128360748291, -0.08567481, -8.2208065E-4, 0.35408974
40, 401474886, -2.505723476409912, -0.3248750567436218, 2.2881381511688232, -0.10324005, 0.009392085, 0.33121204
41, 401491553, -2.5086002349853516, -0.3403569161891937, 2.282522201538086, -0.11127689, 0.011584383, 0.34484768
42, 401508220, -2.5122861862182617, -0.35456985235214233, 2.2822201251983643, -0.1125722, 0.014276136, 0.32567406
43, 401524887, -2.5149664878845215, -0.36846455931663513, 2.2884669303894043, -0.11343745, 0.02431642, 0.34713745
44, 401541554, -2.5180654525756836, -0.38265812397003174, 2.2840776443481445, -0.10665843, 0.021805994, 0.34789658
45, 401558221, -2.5216009616851807, -0.39734646677970886, 2.278176784515381, -0.111452974, 0.019699384, 0.3339262
46, 401574888, -2.5243947505950928, -0.40893346071243286, 2.283827304840088, -0.11431345, 0.01449624, 0.33900928
47, 401591555, -2.528578758239746, -0.42302295565605164, 2.2855875492095947, -0.107652366, 0.018939035, 0.331707
48, 401608222, -2.5317299365997314, -0.4356047213077545, 2.2912864685058594, -0.12566297, 0.017010188, 0.3433075
49, 401624889, -2.5353286266326904, -0.44915392994880676, 2.294250011444092, -0.11454368, 0.017617948, 0.34001827
50, 401641556, -2.539360284805298, -0.46167832612991333, 2.3036491870880127, -0.12502517, 0.020236738, 0.3260603
51, 401658223, -2.542616844177246, -0.4754931628704071, 2.310749053955078, -0.11873192, 0.016921245, 0.33912373
52, 401674890, -2.5459864139556885, -0.4873396158218384, 2.3103208541870117, -0.11439263, 0.025765847, 0.33564854
