PacketCounter,SampleTimeFine,Euler_X,Euler_Y,Euler_Z,FreeAcc_X,FreeAcc_Y,FreeAcc_Z
1,35102327,-1.0583339929580688,-0.6825903654098511,40.88475799560547,-0.0194822,0.0056768414,0.30938816
2,35152328,-1.0368361473083496,-0.7252292633056641,40.81600189208984,-0.01010662,-0.011215524,0.30255508
3,35202329,-1.0436383485794067,-0.7630897164344788,40.805572509765625,-0.01615345,-0.007215103,0.31542492
4,35252330,-1.0540679693222046,-0.801381528377533,40.811336517333984,-0.01999871,-0.011551876,0.31704903
5,35302331,-1.0634822845458984,-0.840052604675293,40.84038162231445,-0.02481832,-0.009453382,0.33448792
6,35352332,-1.0714507102966309,-0.8820206522941589,40.86740493774414,-0.051216193,-0.025181182,0.3297758
7,35402333,-1.0813578367233276,-0.9235691428184508,40.88653564453125,-0.049019564,-0.014567359,0.3293028
8,35452334,-1.0892897844314575,-0.9604343175888062,40.91036605834961,-0.05334181,-0.023830386,0.30814648
9,35502335,-1.1002273559570312,-0.9995102286338806,40.92509841918945,-0.06153064,-0.026828263,0.32468987
10,35552336,-1.1122324466705322,-1.0399550199508667,40.95429611206055,-0.062849246,-0.03026511,0.32050037
11,35602337,-1.124217510223389,-1.0796053409576416,40.97641754150391,-0.08049843,-0.018567089,0.32253265
12,35652338,-1.1348259449005127,-1.1202305555343628,40.95088195800781,-0.06403233,-0.035499547,0.34077644
13,35702339,-1.146845817565918,-1.1588921546936035,40.964393615722656,-0.086905435,-0.037314605,0.33205986
14,35752340,-1.158544898033142,-1.2009899616241455,40.945838928222656,-0.089242876,-0.036214493,0.3182392
15,35802341,-1.1696324348449707,-1.2394416332244873,40.9511947631836,-0.08731962,-0.05119705,0.31635475
16,35852342,-1.1807230710983276,-1.2803364992141724,40.953399658203125,-0.112809904,-0.040483918,0.33045387
17,35902343,-1.1935654878616333,-1.3215752840042114,40.96223449707031,-0.13583116,-0.042051163,0.32994843
18,35952344,-1.208236813545227,-1.3602794408798218,40.95866775512695,-0.11502211,-0.052710462,0.33093262
19,36002345,-1.2227004766464231,-1.3968212604522705,40.96742630004883,-0.121873,-0.058428563,0.3227787
20,36052346,-1.2330272197723389,-1.435705304145813,40.97471618652344,-0.14469574,-0.061492402,0.31803703
21,36102347,-1.2453337907791138,-1.4732693433761597,40.964141845703125,-0.14404668,-0.04880252,0.335351
22,36152348,-1.255843162536621,-1.508838772773743,40.964012145996094,-0.14753877,-0.060733598,0.3517809
23,36202349,-1.2673659324645996,-1.5434826612472534,40.96637725830078,-0.13896483,-0.056311022,0.32191658
24,36252350,-1.2783315181732178,-1.5780391693115234,40.94940948486328,-0.16449434,-0.057021696,0.33546352
25,36302351,-1.2880429029464722,-1.610217809677124,40.95624542236328,-0.17724472,-0.0718296,0.3288555
26,36352352,-1.3000805377960205,-1.6423897743225098,40.95595169067383,-0.1665872,-0.07681354,0.32849312
27,36402353,-1.3114235401153564,-1.6738988161087036,40.9666862487793,-0.17854376,-0.08129275,0.34097195
28,36452354,-1.3222086429595947,-1.7070519924163818,40.954837799072266,-0.17287692,-0.06521188,0.3178463
29,36502355,-1.3300265073776243,-1.7374267578125,40.94498062133789,-0.18547425,-0.0864306,0.3222618
30,36552356,-1.3380143642425537,-1.7680704593658447,40.93010711669922,-0.18045971,-0.0721289,0.33205795
31,36602357,-1.3446346521377563,-1.797611951828003,40.92940902709961,-0.19610125,-0.07724057,0.3416109
32,36652358,-1.3527952432632446,-1.8225109577178955,40.92515563964844,-0.19828841,-0.072470956,0.33882427
33,36702359,-1.360417366027832,-1.850219488143921,40.927024841308594,-0.21536666,-0.076685846,0.30575848
34,36752360,-1.3671772480010986,-1.8769336938858032,40.92596435546875,-0.20414184,-0.08984127,0.32344913
35,36802361,-1.374320387840271,-1.90192186832428,40.93092346191406,-0.19969958,-0.08197706,0.32143688
36,36852362,-1.3842792510986328,-1.9253129959106443,40.91852951049805,-0.21436493,-0.091252,0.3255396
37,36902363,-1.3906567096710205,-1.9451935291290283,40.92257308959961,-0.22664645,-0.09373254,0.34025097
38,36952364,-1.3973097801208496,-1.9653722047805784,40.89938354492188,-0.22507277,-0.098337844,0.31978607
39,37002365,-1.4000381231307983,-1.9848030805587769,40.92327880859375,-0.22113626,-0.095124304,0.3051777
40,37052366,-0.9843305945396424,-0.6219072937965393,40.62492752075195,0.0034035994,0.0026864267,0.31300354
41,37102367,-0.9822392463684082,-0.6210561990737915,40.63588333129883,0.006079552,-0.006969347,0.310462
42,37152368,-0.9819477200508118,-0.6212908029556274,40.63124084472656,0.004856755,-0.008967053,0.31720257
43,37202369,-0.9827799201011658,-0.6216821670532227,40.63512420654297,0.011371033,-0.0051875506,0.31663418
44,37252370,-0.9842671751976012,-0.6181476712226868,40.639102935791016,0.0042199944,2.0241892e-05,0.3256216
45,37302371,-0.9833202362060548,-0.6190801858901978,40.64054870605469,0.012273725,-0.0045622275,0.33717728
