sep=,
DeviceTag:,Movella DOT,,,,,,,,,,,,,,,,,
FirmwareVersion:,3.0.0,,,,,,,,,,,,,,,,,
AppVersion:,2023.6.1,,,,,,,,,,,,,,,,,
SyncStatus:,Un-synced,,,,,,,,,,,,,,,,,
OutputRate:,60Hz,,,,,,,,,,,,,,,,,
FilterProfile:,General,,,,,,,,,,,,,,,,,
Measurement Mode:,Sensor fusion Mode - Extended (Euler),,,,,,,,,,,,,,,,,
StartTime:,2024-10-17 15:01:09.006 +0700,,,,,,,,,,,,,,,,,
 2024,,,,,,,,,,,,,,,,,,,

PacketCounter,SampleTimeFine,Euler_X,Euler_Y,Euler_Z,FreeAcc_X,FreeAcc_Y,FreeAcc_Z,Status
1, 386154680, -0.5542746186256409, -0.8342624306678772, -3.0501222610473633, 0.011154065, 0.025730448, 0.29862785, 0
2, 386171347, -0.5331844091415405, -0.8627277612686157, -3.1166141033172607, 0.0128890425, 0.017041137, 0.3264532, 0
3, 386188014, -0.5111138820648193, -0.9012380242347717, -3.030996084213257, 0.0017046845, -0.0022359467, 0.31403542, 0
4, 386204681, -0.5066009163856506, -0.9316578507423401, -2.981677293777466, -0.005472107, 0.012131082, 0.32200813, 0
5, 386221348, -0.500021755695343, -0.9529235363006592, -3.067282199859619, -0.013381106, 0.004436442, 0.29846478, 0
6, 386238015, -0.49651703238487244, -0.9689498543739319, -3.038756847381592, -0.013021516, -0.0032714962, 0.3074026, 0
7, 386254682, -0.4980548322200775, -0.9840136170387268, -2.9847962856292725, -0.0139454, 0.0036913792, 0.3100462, 0
8, 386271349, -0.4994773864746094, -0.9999855160713196, -3.074533462524414, -0.02776158, 0.0053746486, 0.33760357, 0
9, 386288016, -0.5023894906044006, -1.0111746788024902, -3.0560407638549805, -0.028827088, 0.0087415045, 0.32205868, 0
10, 386304683, -0.5048470497131348, -1.0229045152664185, -3.019495964050293, -0.037114155, 0.0051524485, 0.33089924, 0
11, 386321350, -0.5082123875617981, -1.033780813217163, -2.992745876312256, -0.03280415, 0.007786486, 0.32907486, 0
12, 386338017, -0.5112539529800415, -1.0446422100067139, -3.0010387897491455, -0.040809125, 0.010673959, 0.31840706, 0
13, 386354684, -0.5138023495674133, -1.0559260845184326, -3.034719228744507, -0.050468728, 0.0069570537, 0.33469868, 0
14, 386371351, -0.5159383416175842, -1.0660746097564697, -3.0323445796966553, -0.031300016, 0.0018263628, 0.32480526, 0
15, 386388018, -0.5183989405632019, -1.0780647993087769, -3.021146535873413, -0.043856356, 0.012113781, 0.33442593, 0
16, 386404685, -0.5216383337974548, -1.0892486572265625, -3.0126185417175293, -0.045306217, 0.006739925, 0.3364601, 0
17, 386421352, -0.5251317620277405, -1.1008812189102173, -3.0251924991607666, -0.035608143, 0.014189241, 0.29863834, 0
18, 386438019, -0.5272498726844788, -1.1139211654663086, -3.0166468620300293, -0.051290896, 0.018186394, 0.3137951, 0
19, 386454686, -0.5302258729934692, -1.1268428564071655, -3.011113166809082, -0.039625395, 0.019731825, 0.34620762, 0
20, 386471353, -0.5328509211540222, -1.1400219202041626, -3.037283182144165, -0.034445412, 0.005678633, 0.3269167, 0
