sep=,
DeviceTag:,Movella DOT,,,,,,,,,,,,,,,,,
FirmwareVersion:,3.0.0,,,,,,,,,,,,,,,,,
AppVersion:,2023.6.1,,,,,,,,,,,,,,,,,
SyncStatus:,Un-synced,,,,,,,,,,,,,,,,,
OutputRate:,20Hz,,,,,,,,,,,,,,,,,
FilterProfile:,General,,,,,,,,,,,,,,,,,
Measurement Mode:,Sensor fusion Mode - Complete (Euler),,,,,,,,,,,,,,,,,
StartTime:,2024-10-18 16:25:37.387 +0700,,,,,,,,,,,,,,,,,
 2024,,,,,,,,,,,,,,,,,,,

PacketCounter,SampleTimeFine,Euler_X,Euler_Y,Euler_Z,FreeAcc_X,FreeAcc_Y,FreeAcc_Z
1, 159057825, -0.6472011208534241, -0.9657978415489197, 12.084295272827148, -0.00904339, 0.006505893, 0.322752
2, 159107826, -0.6477393507957458, -0.9936367273330688, 12.113162994384766, -5.288596E-4, 0.014318216, 0.31390858
3, 159157827, -0.6458657383918762, -1.0393924713134766, 12.125245094299316, -0.016263375, 0.00442153, 0.33328915
4, 159207828, -0.651949405670166, -1.0804604291915894, 12.205334663391113, -0.016990442, 0.0023043207, 0.32463932
5, 159257829, -0.6616858243942261, -1.1221503019332886, 12.252182006835938, -0.024288272, -0.003764206, 0.3196411
6, 159307830, -0.6757530570030212, -1.1654306650161743, 12.3009614944458, -0.02776677, 0.0026353784, 0.33189297
7, 159357831, -0.6874321103096008, -1.206983208656311, 12.282700538635254, -0.05703003, -0.009811258, 0.32907104
8, 159407832, -0.699950098991394, -1.2449545860290527, 12.30807876586914, -0.05148541, 0.009759351, 0.31539345
9, 159457833, -0.7122542858123779, -1.2837536334991455, 12.278042793273926, -0.068147905, -0.002357688, 0.3177557
10, 159507834, -0.7246320247650146, -1.322983741760254, 12.259721755981445, -0.047389034, -0.0076634805, 0.30027485
11, 159557835, -0.7387470006942749, -1.3644442558288574, 12.255171775817871, -0.060029197, -0.0042175045, 0.30710602
12, 159607836, -0.7543770670890808, -1.4007188081741333, 12.25539779663086, -0.08691941, 0.011548083, 0.3235178
